job_title,company,salary,address,experience,due_date,jd
Quality Assurance,CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MB SHINSEI,Tới 35 triệu,Hà Nội,2 năm,31/08/2023,"• Tham gia xây dựng, duy trì và kiểm soát Cost, Baseline dự án định kỳ tháng• Giám sát, thanh tra dự án:- Lập kế hoạch kiếm soát dự án theo từng loại hình dự án.- Kiểm soát tuân thủ quy trình, chất lượng và các metrics trong dự án- Xem xét, phát hiện, đôn đốc xử lý và theo dõi issue, risk dự án- Thu thập, đo đạc, phân tích dữ liệu và đánh giá tiến độ, nỗ lực, chất lượng dự án.- Báo cáo kết quả kiểm soát dự án tới các bên liên quan.- Đề xuất các ý tưởng cải tiến nâng cao năng suất dự án.• Tham gia xây dựng, điều chỉnh quy trình và hướng dẫn/đào tạo, triển khai quy trình dự án• Các nhiệm vụ khác theo phân công, chỉ đạo của cấp Quản lý."
Developer,Công ty Cổ Phần Bản Viên,Thoả thuận,Đà Nẵng & 2 nơi khác,2 năm,30/09/2023,"Firmware development for Hospitality Management System Involving in the full-phases development. Firmware development and implementing hardware drivers and low level code for device registers for microcontroller platforms such as ESP32, STM32, NXP, IMX."
Data Analyst,Công ty TNHH Mageplaza,8 - 15 triệu,Hà Nội,Dưới 1 năm,30/09/2023,Thu thập Dữ liệu và Phân tích Sơ bộ Hỗ trợ trong Phân tích Dữ liệu: Hỗ trợ Data Visualization và Báo cáo: Cung cấp dữ liệu cho thảo luận phát triển sản phẩm:
Advertising Operator Executive,CÔNG TY CỔ PHẦN BLUESEED,Thoả thuận,Hồ Chí Minh,1 năm,06/09/2023,"+ Tối ưu hóa và theo dõi chiến dịch hàng ngày, mang lại kết quả thực sự cho khách hàng và lợi nhuận cho công ty.+ A/B test ads, landing page, content... để đạt được cả KPI về chất lượng và số lượng (Ad Request, CPM, impression, fillrate, eCPM ...).+ Báo cáo hàng ngày & hàng tuần cho khách hàng nếu được yêu cầu và khi kết thúc chiến dịch.+ Theo dõi và phát hiện các chỉ số bất thường, cùng nhóm nâng cao và tìm ra giải pháp khắc phục.+ Phân tích hiệu suất chiến dịch và cung cấp các đề xuất tối ưu hóa"
IT Support,Công ty TNHH Công nghệ số Adamo,10 - 13 triệu,Hà Nội,2 năm,20/09/2023,"Chịu trách nhiệm bảo trì, sửa chữa các thiết bị máy tính, mạng toàn công ty. Vận hành và duy trì hệ thống server, mạng LAN, Wifi, WAN. Cài đặt hệ điều hành, phần cứng, phần mềm. Hỗ trợ, hướng dẫn người dùng xử lý các vấn đề liên quan đến IT. Kiểm kê, quản lý tài sản cố định. Báo cáo công việc định kỳ. Hỗ trợ setup cho chương trình sự kiện nội bộ và bên ngoài. Hỗ trợ một số vấn đề văn phòng theo sự phân công"
Software Developer,Công ty TNHH Phần Mềm Dsoft,Trên 15 triệu,"Hồ Chí Minh, Bình Dương",Không yêu cầu kinh nghiệm,31/08/2023,"- Full Stack SW Developer - Requirements: - Front-End: 1-2 year of experience. HTML5, CSS3, Bootstrap, and JavaScript/Jquery. Experience use Visual studio. Can convert from PSD to HTML, CSS.  - Back-End: 2-3 year of Experience. C#, ASP.NET MVC/Web API, Entity Framework, LinQ. Can program on Oracle/ SQL Database. Experience with DevExpress: Plus."
Developer,Công ty TNHH DZS Việt Nam,"Tới 2,000 USD",Hà Nội,2 năm,31/08/2023,"Design, develop, and maintain software for network solutions, network operating systems, kernel of operating systems, applications.. Program by utilizing the third parties’ libraries such as ZebOS, Broadcom, Marvell, etc... Own capability to manage projects and motivate team members to complete company goals. Collaborate proactively with national and international colleagues to improve software quality and efficiency. Apply Agile in working."
Developer,ANNAM GOURMET,Thoả thuận,Hồ Chí Minh,3 năm,18/09/2023,"● Able to translate the customer’s language into a suitable solution and advise the customer on what is possible on the Microsoft Dynamics 365 CE platform.● Design solutions based on Microsoft Dynamics 365 CE, Power Platform, and Azure● Participate in the different phases of projects (POC, product demonstration, analysis and design, development, deployment, etc.)● Responsible for software and documentation deliverables and their quality."
Lập Trình Viên,Công ty Cổ phần Ứng dụng Công nghệ Logistics,Thoả thuận,Hồ Chí Minh,2 năm,15/09/2023,"- Tham gia phát triển các hệ thống ứng dụng web application trên nền tảng .Net (C#) - Làm việc với SQL server - Tham gia phân tích, thiết kế các hệ thống ứng dụng. - Tham gia phát triển các hệ thống core của công ty. - Được tham gia các dự án có độ phức tạp cao, số lượng người dùng đồng thời lớn, số lượng dữ liệu lớn. - Chỉnh sửa, nâng cấp hệ thống ứng dụng, phát triển các yêu cầu bổ sung tính năng. - Báo cáo tiến độ hằng ngày, hằng tuần cho quản lý."
Business Analyst,CÔNG TY TNHH CLOUD ACE,Thoả thuận,Hà Nội,2 năm,03/09/2023,"Looking for Business Analyst having experiments in Banking Domain Dedicate time to generating new business, pitching clients and running projects Writing BRDs, FSDs Needs to liaise internally with another team member, client, stakeholders Coordinate UAT and be involved in production implementation Support PO, PM to prioritize requirements by assessing and documenting their impact Defining and finalizing business requirements and reporting them back to PO,PM, stakeholders Contributing to a data-driven culture"
Developer,OneTech Asia,"600 - 1,200 USD",Hồ Chí Minh,2 năm,25/08/2023,- Tham gia phát triển các ứng dụng AR trên nền tảng web. - Cập nhật và duy trì ứng dụng để đảm bảo nó luôn hoạt động tốt trên các trình duyệt mới và nền tảng AR mới nhất.- Một số công việc khác theo sự phân công của Trưởng bộ phận.
Android,CÔNG TY TNHH ALPHA BLOCK,Tới 30 triệu,Hà Nội,3 năm,14/09/2023,"– Trực tiếp tham gia các dự án lập trình ứng dụng di động trong các lĩnh vực Fintech, IoT, ứng dụng doanh nghiệp, .. – Công nghệ sử dụng: Swift/Objective C, Java/Kotlin, React Native, Cordova – Công việc cụ thể trao đổi khi phỏng vấn"
Reactjs,FPT Software,Thoả thuận,Cần Thơ,4 năm,15/09/2023,"• Design solution and discuss with Customer• Participate into team collaborative design and code review activities.• Responsible for designing, coding and deploying software system.• Will collaborate proactively with functional analysts to translate business and integration requirements into configurable application designs and solutions.• Have application maintenance ownership, and the ability to work effectively with other technologies and account teams.• Have experience in working in agile environment and different projects at the same time."
Solution Architect,FPT Software,Thoả thuận,Hồ Chí Minh,3 năm,16/09/2023,"• Has responsibility for the architecture of software under the technical expert role in the tasks of the design, development, and technical support related to software.• Work with Client’s designers and product owners to deliver production-ready source code based upon assigned features and requirements.• Test and remediate issues found during development in accordance with accepted quality control practices.• When needed or requested, provide technical expertise and insight related to engineering and design efforts.• Provide ongoing continuous delivery enhancements as defined by the Client delivery team.• Follow engineering and user experience patterns prescribed by the Client delivery team• Lead technical engagement & collaborate with project teams on business requirement, analysis, design, development, and testing of the applications in support of business solutions.• Strong ability to analyze functional needs and drive the design for positive business outcomes; recommends solutions that are aligned with business / IT strategies and complies with corporate architectural standards• Join Business application development, lead/coach technical project team and review development solution/code• Play architecture role in re-designing critical services & performance improvements• Code re-engineering & legacy application enhancement• Maintenance and support business applications• Review code & control code quality."
UI/UX,Công ty TNHH HQSOFT,Tới 10 triệu,Hồ Chí Minh,Dưới 1 năm,22/09/2023,"- Lên ý tưởng, sáng tạo, layout và trực tiếp thiết kế giao diện UI/UX cho Web, App Mobile (Android, iOS, Mobile Version).- Phối hợp chặt chẽ với các bộ phận liên quan (Customer, Marketing, Development, QA, Product...) để xây dựng đưa ra bản thiết kế tối ưu xuyên suốt dự án.- Thực hiện các phân tích thay đổi, bổ sung thiết kế, giao diện cần thiết trong giai đoạn thực hiện- Nghiên cứu, áp dụng các xu hướng thiết kế mới/các kỹ thuật và công cụ hỗ trợ thiết kế.- Xây dựng guideline thiết kế, xuất ảnh, hỗ trợ các bộ phận khác trong dự án- Review sản phẩm sau khi hoàn thiện- Hỗ trợ các phòng ban khác về thiết kế (nếu có yêu cầu).- Thực hiện các công việc khác theo sự phân công của quản lý trực tiếp."
